record_id,title,service,ticket_type,indicator
SYN-00001,"Please sanitize the meeting room at north wing, this afternoon.",Food Services,Service Request,IND-02
SYN-00002,"please review the special meal at level two, as soon as possible",Food Services,Service Request,IND-04
SYN-00003,Complaint: recurring issue with air conditioner at reception.,Facilities,Complaint,IND-09
SYN-00004,"Please replace the menu at north wing, before noon.",Food Services,Service Request,IND-04
SYN-00005,"Please inspect the meeting room at storage area, before noon.",Cleaning,Service Request,IND-05
SYN-00006,Request to restore door - north wing - before noon.,Cleaning,Service Request,IND-05
SYN-00007,"the user account issue at storage area happened again, please review.",IT Support,Complaint,IND-09
SYN-00008,Help needed to check air conditioner in reception today.,Facilities,Support Request,IND-10
SYN-00009,"Deliver shipment at reception, before noon.",Logistics,Service Request,IND-03
SYN-00010,Complaint: recurring issue with water leak at main office,Facilities,Complaint,IND-09
SYN-00011,"replace portable monitor at main office, this afternoon",Equipment,Service Request,IND-07
SYN-00012,Request to schedule supply order - reception - before noon.,Logistics,Service Request,IND-03
SYN-00013,request to replace portable monitor - level two - as soon as possible,Equipment,Service Request,IND-07
SYN-00014,Complaint: recurring issue with door at reception.,Facilities,Complaint,IND-09
SYN-00015,request to restore lighting - reception - as soon as possible,Facilities,Service Request,IND-01
SYN-00016,"Please restore the water leak at level two, today.",Facilities,Service Request,IND-01
SYN-00017,"pls connect the laptop at reception, today.",Logistics,Service Request,IND-03
SYN-00018,Complaint: recurring issue with meeting room at main office.,Cleaning,Complaint,IND-09
SYN-00019,"Please deliver the supply order at north wing, before noon.",Logistics,Service Request,IND-03
SYN-00020,Help needed to confirm special meal in storage area when available.,Food Services,Support Request,IND-10
SYN-00021,"Reset laptop at storage area, this afternoon.",IT Support,Service Request,IND-02
SYN-00022,"The application issue at storage area happened again, please review.",IT Support,Complaint,IND-09
SYN-00023,service needed: adjust water leak in level two this afternoon,Facilities,Service Request,IND-01
SYN-00024,"Connect laptop at storage area, today.",IT Support,Service Request,IND-02
SYN-00025,service needed: prepare menu in level two as soon as possible.,Food Services,Service Request,IND-04
SYN-00026,"Please replace the beverage station at reception, as soon as possible.",Food Services,Service Request,IND-04
SYN-00027,"Please diagnose the network at reception, before noon",IT Support,Service Request,IND-02
SYN-00028,Request to adjust door - storage area - today.,Facilities,Service Request,IND-01
SYN-00029,Service needed: respond to service status in level two when available.,Customer Support,Service Request,IND-08
SYN-00030,"the door issue at reception happened again, please review.",Facilities,Complaint,IND-09
SYN-00031,Complaint: recurring issue with printer at reception.,IT Support,Complaint,IND-09
SYN-00032,Help needed to review food tray in main office this afternoon.,Food Services,Support Request,IND-10
SYN-00033,"Please replace the beverage station at main office, as soon as possible.",Food Services,Service Request,IND-04
SYN-00034,"Please provide support to restore the water leak at main office, as soon as possible.",Facilities,Support Request,IND-10
SYN-00035,Service needed: repair power unit in storage area this afternoon.,Equipment,Service Request,IND-07
SYN-00036,help needed to locate shipment in main office when available.,Logistics,Support Request,IND-10
SYN-00037,Service needed: locate delivery cart in main office as soon as possible.,Logistics,Service Request,IND-03
SYN-00038,"The food tray issue at north wing happened again, please review.",Food Services,Complaint,IND-09
SYN-00039,Service needed: deliver food tray in reception as soon as possible,Food Services,Service Request,IND-04
SYN-00040,Complaint: recurring issue with portable monitor at north wing.,Food Services,Complaint,IND-09
SYN-00041,"Please provide support to authorize the access badge at reception, as soon as possible.",Security,Support Request,IND-10
SYN-00042,Service needed: provide office chair in main office before noon.,Equipment,Service Request,IND-07
SYN-00043,"Please replace the menu at north wing, this afternoon.",Food Services,Service Request,IND-04
SYN-00044,Request to prepare menu - storage area - as soon as possible.,Food Services,Service Request,IND-04
SYN-00045,Service needed: review parking gate in reception before noon.,Security,Service Request,IND-06
SYN-00046,"The shipment issue at main office happened again, please review",Logistics,Complaint,IND-09
SYN-00047,request to authorize parking gate - level two - when available.,Security,Service Request,IND-06
SYN-00048,Help needed to locate document box in north wing as soon as possible.,Logistics,Support Request,IND-10
SYN-00049,Service needed: transfer document box in level two when available.,Logistics,Service Request,IND-03
SYN-00050,"Please check the elevator at storage area, when available",Facilities,Service Request,IND-01
SYN-00051,service needed: wash spill in north wing this afternoon.,Facilities,Service Request,IND-01
SYN-00052,Request to locate access badge - main office - before noon.,Security,Service Request,IND-06
SYN-00053,Help needed to review food tray in level two this afternoon.,Food Services,Support Request,IND-10
SYN-00054,"Repair water leak at storage area, as soon as possible.",Facilities,Service Request,IND-01
SYN-00055,"Please remove the window at main office, today.",Cleaning,Service Request,IND-05
SYN-00056,"The laptop issue at north wing happened again, please review",IT Support,Complaint,IND-09
SYN-00057,Request to deliver package - main office - this afternoon.,Logistics,Service Request,IND-03
SYN-00058,"Please collect the supply order at reception, today.",Logistics,Service Request,IND-03
SYN-00059,Help needed to schedule package in reception as soon as possible,Logistics,Support Request,IND-10
SYN-00060,Service needed: monitor lost item in level two this afternoon.,Security,Service Request,IND-06
SYN-00061,Complaint: recurring issue with meeting room at level two,Cleaning,Complaint,IND-09
SYN-00062,Service needed: locate parking gate in reception today.,Security,Service Request,IND-06
SYN-00063,Help needed to authorize lost item in level two as soon as possible.,Security,Support Request,IND-10
SYN-00064,Complaint: recurring issue with document box at level two.,Logistics,Complaint,IND-09
SYN-00065,Request to review access badge - main office - this afternoon,Security,Service Request,IND-06
SYN-00066,Request to inspect lighting - level two - when available.,Facilities,Service Request,IND-01
SYN-00067,"Please provide support to update the network at storage area, as soon as possible",IT Support,Support Request,IND-10
SYN-00068,Help needed to replace menu in north wing as soon as possible.,Food Services,Support Request,IND-10
SYN-00069,Service needed: inspect waste bin in storage area before noon,Cleaning,Service Request,IND-05
SYN-00070,"The access badge issue at reception happened again, please review.",Security,Complaint,IND-09
SYN-00071,Complaint: recurring issue with supply order at level two.,Logistics,Complaint,IND-09
SYN-00072,"Please provide support to adjust the water leak at storage area, when available.",Facilities,Support Request,IND-10
SYN-00073,Service needed: deliver food tray in north wing this afternoon,Food Services,Service Request,IND-04
SYN-00075,"Please provide support to inspect the hallway at north wing, today.",Cleaning,Support Request,IND-10
SYN-00076,service needed: review meal order in storage area this afternoon.,Food Services,Service Request,IND-04
SYN-00077,"Please transfer the document box at north wing, as soon as possible.",Logistics,Service Request,IND-03
SYN-00078,Service needed: locate package in reception this afternoon.,Logistics,Service Request,IND-03
SYN-00079,Service needed: update user account in north wing today.,IT Support,Service Request,IND-02
SYN-00080,Request to monitor lost item - main office - as soon as possible.,Food Services,Service Request,IND-04
SYN-00081,"Please repair the elevator at level two, before noon",Facilities,Service Request,IND-01
SYN-00082,help needed to update network in north wing today,IT Support,Support Request,IND-10
SYN-00083,"the waste bin issue at north wing happened again, please review.",Cleaning,Complaint,IND-09
SYN-00084,Request to configure application - storage area - this afternoon,IT Support,Service Request,IND-02
SYN-00085,"The waste bin issue at reception happened again, pls review.",Cleaning,Complaint,IND-09
SYN-00086,"Reset network at north wing, as soon as possible.",IT Support,Support Request,IND-10
SYN-00087,Service needed: diagnose network in level two this afternoon,IT Support,Service Request,IND-02
SYN-00088,request to locate visitor entrance - reception - this afternoon.,Security,Service Request,IND-06
SYN-00089,"please adjust the door at north wing, before noon.",Facilities,Service Request,IND-01
SYN-00090,request to repair door - level two - when available,Facilities,Service Request,IND-01
SYN-00092,"please reset the printer at level two, before noon",IT Support,Service Request,IND-02
SYN-00093,"Transfer package at reception, as soon as possible.",Logistics,Complaint,IND-09
